S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29,Kerala,Mavelikkara
2,ADV ARUN KUMAR C A,Communist Party of India,352708,5940,358648,40.07,Kerala,Mavelikkara
3,BAIJU KALASALA,Bharath Dharma Jana Sena,140830,2154,142984,15.98,Kerala,Mavelikkara
4,C MONICHEN,Independent,4893,81,4974,0.56,Kerala,Mavelikkara
5,SANTHOSH PALATHUMPADAN,Bahujan Samaj Party,4183,123,4306,0.48,Kerala,Mavelikkara
6,SURESH NOORANAD,Ambedkarite Party of India,1441,64,1505,0.17,Kerala,Mavelikkara
7,K BIMALJI,Socialist Unity Centre Of India (COMMUNIST),1336,34,1370,0.15,Kerala,Mavelikkara
8,MANTHARA VELAYUDHAN,Independent,910,19,929,0.1,Kerala,Mavelikkara
9,KOZHUVASSERIL SURESH,Independent,836,20,856,0.1,Kerala,Mavelikkara
10,NOTA,None of the Above,9640,243,9883,1.1,Kerala,Mavelikkara
