S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26,Rajasthan,CHITTORGARH,21
2,ANJANA UDAILAL,Indian National Congress,495177,3148,498325,33.25,Rajasthan,CHITTORGARH,21
3,BHIL ADIVASI MANGILAL NANAMA,Bharat Adivasi Party,42243,568,42811,2.86,Rajasthan,CHITTORGARH,21
4,RAMESHWAR LAL BAIRWA (INDORA),Independent,9536,3,9539,0.64,Rajasthan,CHITTORGARH,21
5,KUMAWAT RAMESH CHANDRA,Independent,8834,8,8842,0.59,Rajasthan,CHITTORGARH,21
6,MEGHWAL RADHESHYAM,Bahujan Samaj Party,8578,35,8613,0.57,Rajasthan,CHITTORGARH,21
7,SHYAM LAL MEGHWAL,Independent,7901,6,7907,0.53,Rajasthan,CHITTORGARH,21
8,BAPU LAL ANJANA,Independent,7837,9,7846,0.52,Rajasthan,CHITTORGARH,21
9,PRAKASH DHAKAR,Ekam Sanatan Bharat Dal,3915,10,3925,0.26,Rajasthan,CHITTORGARH,21
10,PRATAP SINGH,Independent,3342,5,3347,0.22,Rajasthan,CHITTORGARH,21
11,AZAD PRAKASH CHANDRA MEGHWAL,Akhil Bharatiya Congress Dal (Ambedkar),2764,13,2777,0.19,Rajasthan,CHITTORGARH,21
12,JOGENDRA SINGH HODA,Independent,2294,8,2302,0.15,Rajasthan,CHITTORGARH,21
13,GAJENDRA,Independent,1637,7,1644,0.11,Rajasthan,CHITTORGARH,21
14,KALYAN SINGH BHATI,Independent,1544,18,1562,0.1,Rajasthan,CHITTORGARH,21
15,MAHAVIR PRASAD KUMAWAT,Right to Recall Party,1539,10,1549,0.1,Rajasthan,CHITTORGARH,21
16,KAMAL,Independent,1490,8,1498,0.1,Rajasthan,CHITTORGARH,21
17,MOHAMMAD WAHID KHAN,Pehchan People’s Party,1216,12,1228,0.08,Rajasthan,CHITTORGARH,21
18,SITA RAM AHIR,Vishva Shakti Party,1203,23,1226,0.08,Rajasthan,CHITTORGARH,21
19,NOTA,None of the Above,5518,72,5590,0.37,Rajasthan,CHITTORGARH,21
